Model,Perturbation,Coverage,Coverage,Coverage,Coverage,Size,Size,Size,Size,Accuracy,Accuracy
,,APS,Fixed,Naive,RAPS,APS,Fixed,Naive,RAPS,Top1,Top5
DenseNet161,blur,0.812,0.812,0.813,0.796,5.5,5.51,5.513,5.248,0.286,0.79
DenseNet161,brightness,0.909,0.909,0.909,0.893,5.687,5.694,5.699,5.396,0.417,0.877
DenseNet161,clean,0.929,0.929,0.931,0.928,5.055,5.068,5.067,5.001,0.514,0.925
DenseNet161,erasure,0.9,0.903,0.903,0.885,5.815,5.824,5.83,5.533,0.377,0.856
DenseNet161,gaussian_noise,0.919,0.921,0.92,0.916,5.147,5.152,5.153,5.083,0.482,0.913
DenseNet161,jpeg,0.893,0.893,0.893,0.875,5.874,5.885,5.889,5.529,0.362,0.847
Inception,blur,0.922,0.922,0.925,0.903,3.178,3.18,3.216,2.85,0.644,0.96
Inception,brightness,0.913,0.912,0.914,0.903,2.866,2.869,2.899,2.692,0.659,0.965
Inception,clean,0.946,0.946,0.948,0.941,2.479,2.482,2.506,2.394,0.755,0.984
Inception,erasure,0.54,0.537,0.543,0.543,2.853,2.858,2.896,2.778,0.228,0.782
Inception,gaussian_noise,0.479,0.479,0.484,0.376,4.692,4.698,4.74,3.649,0.105,0.516
Inception,jpeg,0.789,0.79,0.792,0.548,6.699,6.702,6.752,3.973,0.19,0.646
ResNeXt101,blur,0.871,0.873,0.871,0.849,6.476,6.487,6.492,6.103,0.283,0.779
ResNeXt101,brightness,0.916,0.916,0.917,0.904,6.194,6.2,6.209,5.931,0.392,0.861
ResNeXt101,clean,0.925,0.925,0.926,0.925,5.258,5.263,5.268,5.268,0.492,0.908
ResNeXt101,erasure,0.883,0.882,0.881,0.877,5.72,5.72,5.718,5.617,0.358,0.839
ResNeXt101,gaussian_noise,0.928,0.929,0.928,0.926,5.364,5.374,5.374,5.348,0.482,0.905
ResNeXt101,jpeg,0.891,0.891,0.891,0.885,5.803,5.809,5.816,5.674,0.364,0.841
ResNet101,blur,0.83,0.827,0.83,0.828,6.029,5.986,6.01,5.988,0.262,0.766
ResNet101,brightness,0.881,0.879,0.881,0.879,5.975,5.933,5.956,5.939,0.342,0.828
ResNet101,clean,0.925,0.925,0.925,0.925,5.726,5.68,5.707,5.702,0.434,0.895
ResNet101,erasure,0.885,0.883,0.885,0.883,5.97,5.918,5.941,5.929,0.323,0.829
ResNet101,gaussian_noise,0.922,0.922,0.922,0.922,5.744,5.703,5.731,5.723,0.425,0.889
ResNet101,jpeg,0.893,0.891,0.891,0.889,6.008,5.963,5.992,5.972,0.342,0.833
ResNet152,blur,0.859,0.859,0.859,0.859,6.05,6.059,6.072,6.087,0.286,0.79
ResNet152,brightness,0.905,0.905,0.907,0.905,6.066,6.075,6.087,6.107,0.373,0.848
ResNet152,clean,0.925,0.926,0.927,0.927,5.62,5.631,5.645,5.701,0.464,0.895
ResNet152,erasure,0.89,0.889,0.891,0.893,5.985,5.994,6.011,6.042,0.348,0.832
ResNet152,gaussian_noise,0.926,0.926,0.927,0.927,5.663,5.673,5.688,5.743,0.452,0.894
ResNet152,jpeg,0.889,0.889,0.891,0.891,5.874,5.883,5.898,5.929,0.355,0.837
ResNet18,blur,0.817,0.817,0.817,0.816,5.966,5.973,5.966,5.944,0.2,0.741
ResNet18,brightness,0.932,0.932,0.931,0.926,7.117,7.12,7.111,6.992,0.326,0.811
ResNet18,clean,0.927,0.927,0.928,0.926,6.027,6.034,6.029,5.974,0.422,0.88
ResNet18,erasure,0.897,0.899,0.898,0.898,6.456,6.456,6.444,6.373,0.321,0.815
ResNet18,gaussian_noise,0.929,0.928,0.929,0.927,6.127,6.142,6.13,6.065,0.414,0.877
ResNet18,jpeg,0.897,0.897,0.897,0.894,6.325,6.333,6.325,6.264,0.315,0.821
ResNet50,blur,0.893,0.893,0.892,0.879,6.255,6.243,6.245,5.974,0.319,0.823
ResNet50,brightness,0.921,0.921,0.922,0.906,6.52,6.508,6.51,6.16,0.372,0.85
ResNet50,clean,0.927,0.927,0.928,0.926,5.585,5.572,5.577,5.521,0.475,0.904
ResNet50,erasure,0.893,0.891,0.892,0.883,6.021,6.01,6.016,5.838,0.359,0.836
ResNet50,gaussian_noise,0.929,0.929,0.929,0.928,5.692,5.687,5.686,5.591,0.466,0.902
ResNet50,jpeg,0.887,0.887,0.887,0.879,5.975,5.968,5.968,5.793,0.352,0.838
ShuffleNet,blur,0.866,0.871,0.866,0.868,8.092,8.151,8.087,8.123,0.155,0.606
ShuffleNet,brightness,0.895,0.897,0.896,0.897,7.251,7.285,7.258,7.296,0.277,0.743
ShuffleNet,clean,0.92,0.922,0.922,0.923,6.852,6.875,6.861,6.898,0.376,0.833
ShuffleNet,erasure,0.909,0.912,0.909,0.911,7.315,7.355,7.322,7.367,0.282,0.756
ShuffleNet,gaussian_noise,0.92,0.922,0.923,0.922,7.056,7.075,7.053,7.092,0.361,0.818
ShuffleNet,jpeg,0.917,0.921,0.917,0.92,7.637,7.683,7.641,7.68,0.259,0.723
VGG16,blur,0.877,0.877,0.877,0.838,5.483,5.487,5.474,4.804,0.368,0.85
VGG16,brightness,0.931,0.93,0.93,0.912,4.925,4.925,4.915,4.492,0.508,0.926
VGG16,clean,0.928,0.928,0.927,0.924,4.063,4.068,4.057,3.893,0.579,0.954
VGG16,erasure,0.881,0.881,0.879,0.852,5.105,5.096,5.085,4.595,0.396,0.868
VGG16,gaussian_noise,0.92,0.92,0.92,0.916,4.212,4.213,4.202,4.013,0.548,0.944
VGG16,jpeg,0.847,0.847,0.847,0.812,5.277,5.282,5.268,4.714,0.338,0.829
